studentId,kriteriumId,lesserComparableId,greaterComparableId
1,0,73,34
1,0,34,56
1,1,91,104
1,1,104,53
1,2,69,32
1,2,32,62
1,3,83,77
1,3,77,80
1,4,74,58
1,4,58,3
1,5,42,90
1,5,90,19
1,6,76,2
1,6,2,77
1,7,48,66
1,7,66,83
1,8,5,47
1,8,47,74
1,9,104,49
1,9,49,11
1,10,3,39
1,10,39,58
2,0,69,82
2,0,82,48
2,1,94,57
2,1,57,102
2,2,84,6
2,2,6,51
2,3,73,93
2,3,93,102
2,4,100,21
2,4,21,59
2,5,104,67
2,5,67,81
2,6,78,34
2,6,34,95
2,7,46,57
2,7,57,26
2,8,74,53
2,8,53,32
2,9,55,101
2,9,101,62
2,10,75,67
2,10,67,76
3,0,1,87
3,0,87,5
3,0,5,64
3,1,16,36
3,1,36,5
3,1,5,21
3,2,28,22
3,2,22,91
3,2,91,41
3,3,71,86
3,3,86,99
3,3,99,96
3,4,15,101
3,4,101,28
3,4,28,46
3,5,30,94
3,5,94,86
3,5,86,11
3,6,16,76
3,6,76,99
3,6,99,91
3,7,36,84
3,7,84,105
3,7,105,43
3,8,102,35
3,8,35,21
3,8,21,66
3,9,58,69
3,9,69,51
3,9,51,82
3,10,53,38
3,10,38,35
3,10,35,68
4,0,24,38
4,0,38,85
4,0,85,43
4,0,43,90
4,0,90,102
4,0,102,25
4,1,28,83
4,1,83,65
4,1,65,78
4,1,78,40
4,1,40,55
4,1,55,95
4,2,70,50
4,2,50,7
4,2,7,25
4,2,25,19
4,2,19,28
4,2,28,101
4,3,21,99
4,3,99,46
4,3,46,65
4,3,65,74
4,3,74,0
4,3,0,66
4,4,79,32
4,4,32,62
4,4,62,36
4,4,36,49
4,4,49,29
4,4,29,24
4,5,97,86
4,5,86,8
4,5,8,51
4,5,51,11
4,5,11,13
4,5,13,71
4,6,84,9
4,6,9,41
4,6,41,42
4,6,42,52
4,6,52,40
4,6,40,101
4,7,32,87
4,7,87,62
4,7,62,19
4,7,19,28
4,7,28,55
4,7,55,52
4,8,31,77
4,8,77,64
4,8,64,99
4,8,99,101
4,8,101,71
4,8,71,12
4,9,39,91
4,9,91,78
4,9,78,36
4,9,36,12
4,9,12,41
4,9,41,10
4,10,105,19
4,10,19,60
4,10,60,16
4,10,16,79
4,10,79,15
4,10,15,75
5,0,103,94
5,0,94,5
5,0,5,63
5,0,63,12
5,0,12,105
5,1,49,43
5,1,43,70
5,1,70,86
5,1,86,10
5,1,10,73
5,2,52,56
5,2,56,72
5,2,72,64
5,2,64,37
5,2,37,9
5,3,2,91
5,3,91,51
5,3,51,11
5,3,11,33
5,3,33,84
5,4,60,82
5,4,82,2
5,4,2,29
5,4,29,69
5,4,69,100
5,5,51,17
5,5,17,71
5,5,71,93
5,5,93,104
5,5,104,68
5,6,105,62
5,6,62,70
5,6,70,66
5,6,66,57
5,6,57,35
5,7,30,38
5,7,38,18
5,7,18,8
5,7,8,68
5,7,68,82
5,8,34,18
5,8,18,38
5,8,38,58
5,8,58,83
5,8,83,61
5,9,27,89
5,9,89,86
5,9,86,52
5,9,52,102
5,9,102,31
5,10,5,89
5,10,89,63
5,10,63,73
5,10,73,18
5,10,18,96
6,0,96,61
6,0,61,57
6,1,23,62
6,1,62,84
6,2,48,33
6,2,33,36
6,3,65,98
6,3,98,86
6,4,8,25
6,4,25,29
6,5,85,15
6,5,15,83
6,6,12,15
6,6,15,9
6,7,31,26
6,7,26,82
6,8,49,0
6,8,0,76
6,9,76,96
6,9,96,42
6,10,13,8
6,10,8,9
7,0,101,82
7,0,82,26
7,0,26,11
7,0,11,94
7,0,94,17
7,0,17,68
7,1,105,46
7,1,46,81
7,1,81,25
7,1,25,54
7,1,54,29
7,1,29,18
7,2,59,3
7,2,3,102
7,2,102,2
7,2,2,83
7,2,83,88
